@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
39.700000000, -14.969000000, -11.290000000, 0.057900000, 43.360000000, 1668.484500000, 47.990000000, 47.550000000, 50.280000000, -0.123500000, 49.749784292, -10.912000000, -0.192100000, -13.784000000, -12.590000000, 42.030000000, V
58.740000000, -15.851000000, -14.011000000, 0.264600000, 49.270000000, 1027.662500000, 50.660000000, 47.600000000, 59.620000000, -0.589400000, 50.037175789, -16.622000000, -0.547800000, -13.897000000, -13.864000000, 43.300000000, P
51.360000000, -10.933000000, -14.547000000, -0.301700000, 53.980000000, 7424.267000000, 38.030000000, 35.380000000, 42.690000000, -0.736700000, 50.381912155, -13.929000000, -0.595800000, -8.572000000, -12.241000000, 49.660000000, F
56.370000000, -14.939000000, -15.497000000, -0.000400000, 54.520000000, 1499.703800000, 66.710000000, 53.890000000, 52.320000000, -0.313900000, 49.792371162, -14.470000000, 0.147900000, -15.753000000, -18.505000000, 59.060000000, Q
43.910000000, -16.265000000, -13.113000000, 0.212200000, 45.610000000, 836.736800000, 51.350000000, 46.360000000, 52.450000000, -0.083800000, 51.053037131, -12.081000000, -0.059900000, -13.676000000, -15.328000000, 54.010000000, V
46.890000000, -13.465000000, -15.565000000, 0.113300000, 54.950000000, 2982.948900000, 54.700000000, 50.360000000, 42.270000000, -0.333000000, 46.504503155, -12.499000000, 0.333200000, -14.189000000, -15.999000000, 52.510000000, P
37.090000000, -15.972000000, -12.073000000, -0.217900000, 37.070000000, 928.628300000, 48.680000000, 47.360000000, 51.750000000, -0.036400000, 48.881599331, -12.159000000, -0.411700000, -15.028000000, -14.193000000, 53.350000000, V
38.510000000, -15.984000000, -12.857000000, 0.246900000, 45.520000000, 964.859700000, 41.390000000, 52.800000000, 53.500000000, -0.155500000, 49.263720263, -10.967000000, -0.265200000, -15.314000000, -11.821000000, 50.170000000, V
52.450000000, -11.202000000, -12.154000000, 0.436900000, 44.580000000, 6004.239800000, 60.460000000, 46.760000000, 45.000000000, -0.398600000, 49.669566458, -14.600000000, -0.236300000, -13.481000000, -16.462000000, 46.110000000, F
55.550000000, -14.570000000, -15.346000000, 0.001200000, 54.750000000, 1634.129400000, 64.650000000, 54.090000000, 47.930000000, -0.193700000, 50.686545849, -14.148000000, 0.260300000, -16.009000000, -17.843000000, 51.080000000, Q
